college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 2,6.58,0,3,1,4,1,1,0,0,44.1,Software Engineer,9.8,2,6,2.379546134130174
Tier 2,6.9,2,6,0,0,3,0,0,1,57.4,DevOps Engineer,6.68,2,3,2.038619547159581
Tier 3,8.31,0,0,0,4,2,1,1,2,69.0,Software Engineer,14.24,1,6,2.7239235502585
Tier 1,7.45,0,4,1,1,3,0,1,1,46.3,Backend Developer,9.63,3,0,2.363680192353857
Tier 1,7.26,1,0,0,1,5,1,2,0,56.3,Software Engineer,16.36,3,6,2.854168709232204
Tier 2,6.46,1,1,1,4,0,1,0,0,45.3,Software Engineer,10.42,2,6,2.435366204227864
Tier 2,5.03,1,0,0,4,1,1,1,1,41.0,Junior Developer,5.07,2,4,1.803358605071407
Tier 2,6.43,2,2,1,0,0,1,1,0,52.4,Software Engineer,9.97,2,6,2.395164274287139
Tier 2,6.38,1,2,2,1,3,2,1,2,53.2,Software Engineer,9.76,2,6,2.3758355547336385
Tier 3,6.06,1,1,0,2,2,2,2,0,48.6,Backend Developer,9.5,1,0,2.3513752571634776
Tier 2,6.46,1,0,2,2,2,3,1,1,62.8,Software Engineer,10.3,2,6,2.424802725718295
Tier 2,5.48,1,6,1,0,3,0,2,1,29.4,Junior Developer,4.25,2,4,1.6582280766035324
Tier 2,7.38,0,4,0,1,4,1,3,1,43.6,Software Engineer,16.13,2,6,2.8408313123360287
Tier 2,4.56,1,2,1,1,2,1,1,2,37.0,Junior Developer,4.22,2,4,1.6524974018945473
Tier 2,10.0,0,3,1,1,2,1,1,2,77.0,Data Analyst,13.59,2,1,2.6803363625346943
Tier 2,7.06,1,4,2,2,4,0,3,2,48.3,Web Developer,10.55,2,7,2.446685436967803
Tier 3,6.76,2,3,1,0,6,0,2,2,40.3,DevOps Engineer,7.82,1,3,2.1770218700187
Tier 1,7.06,0,1,2,2,4,2,1,0,53.7,Data Scientist,16.36,3,2,2.854168709232204
Tier 3,8.83,1,2,0,0,2,1,1,0,62.0,Data Scientist,16.7,1,2,2.8735646395797834
Tier 3,7.82,3,1,1,0,2,2,0,1,74.6,Data Scientist,15.84,1,2,2.8237570088141806
Tier 1,7.67,0,0,0,0,0,0,3,0,44.5,Backend Developer,10.19,3,0,2.4150205223238337
Tier 1,7.85,2,2,1,0,3,1,0,2,60.9,Software Engineer,16.48,3,6,2.8610573702273894
Tier 2,7.65,0,3,1,1,3,0,1,0,51.0,Data Scientist,10.74,2,2,2.4630018143999504
Tier 3,7.43,1,2,0,3,1,0,2,0,52.3,Data Scientist,9.7,1,2,2.3702437414678603
Tier 3,8.19,1,1,1,0,2,1,0,0,56.0,Data Scientist,11.82,1,2,2.551006451492524
Tier 1,7.25,3,1,0,3,2,0,2,0,57.4,DevOps Engineer,10.2,3,3,2.4159137783010487
Tier 1,7.88,3,3,0,1,1,1,0,0,65.7,Data Scientist,15.63,3,2,2.8112082932048366
Tier 3,9.05,1,2,0,0,1,0,1,1,62.7,Software Engineer,10.48,1,6,2.4406063908914204
Tier 2,7.54,2,1,0,2,1,0,4,0,51.3,Software Engineer,10.33,2,6,2.427454075039915
Tier 2,6.62,1,0,2,1,2,1,0,0,51.5,Software Engineer,9.91,2,6,2.3896797998449792
Tier 2,6.82,1,1,1,2,3,0,0,3,49.0,Data Analyst,6.59,2,1,2.0268315914075385
Tier 3,9.35,3,2,0,1,3,4,1,1,73.1,ML Engineer,29.06,1,5,3.4031953843248286
Tier 2,5.59,1,2,1,1,0,1,1,0,39.8,Web Developer,7.34,2,7,2.1210632163706555
Tier 1,8.22,1,3,1,1,1,1,1,2,65.8,Data Analyst,12.92,3,1,2.6333266549062735
Tier 2,7.39,3,5,0,1,4,1,1,0,49.7,Data Scientist,16.12,2,2,2.840247370713596
Tier 3,6.47,0,2,1,0,0,0,1,2,46.3,Web Developer,5.66,1,7,1.8961194845522977
Tier 2,6.33,1,2,2,1,2,0,0,3,37.5,Web Developer,6.63,2,7,2.0320878452963655
Tier 2,6.78,1,3,1,1,4,0,2,1,40.7,Web Developer,7.71,2,7,2.1644717908644115
Tier 3,6.64,1,1,4,1,2,0,1,0,47.1,Software Engineer,4.61,1,6,1.724550719534605
Tier 1,8.66,1,1,2,1,1,2,2,1,74.6,Data Scientist,24.28,3,2,3.2300135692786567
Tier 3,6.15,2,1,0,2,4,0,2,0,44.7,Software Engineer,8.29,1,6,2.2289385528257473
Tier 1,7.61,1,0,0,3,2,2,1,1,66.6,Data Scientist,15.85,3,2,2.8243506567983707
Tier 1,8.0,0,4,0,1,2,1,2,1,57.4,Data Scientist,24.3,3,2,3.2308043957334744
Tier 3,9.47,0,5,1,0,2,2,3,0,68.9,Data Scientist,23.01,1,2,3.178470410233162
Tier 2,4.97,4,1,1,1,2,2,0,2,40.3,Junior Developer,4.03,2,4,1.6154199841116479
Tier 1,7.58,3,1,0,1,3,0,1,0,56.1,DevOps Engineer,10.85,3,3,2.47232786758114
Tier 3,7.92,1,3,0,2,2,0,1,1,55.6,Web Developer,10.18,1,7,2.414126467726953
Tier 3,4.11,1,1,2,0,4,0,0,1,28.8,Junior Developer,3.07,1,4,1.4036429994545037
Tier 2,7.06,1,1,1,1,3,0,2,1,52.8,Software Engineer,9.94,2,6,2.392425796993835
Tier 2,8.54,1,2,1,3,1,1,2,1,63.0,Software Engineer,22.41,2,6,3.1531632815028194
Tier 1,6.53,1,3,2,1,2,0,0,1,49.6,Data Analyst,6.44,3,1,2.0068708488450007
Tier 2,6.84,0,2,1,2,4,2,0,0,54.0,ML Engineer,10.24,2,5,2.419478844465545
Tier 2,6.83,2,2,1,0,4,0,1,0,49.8,DevOps Engineer,8.38,2,3,2.238579763018133
Tier 3,7.93,1,0,0,0,4,1,4,0,59.9,Software Engineer,15.54,1,6,2.805781689595545
Tier 3,8.0,1,0,0,1,2,0,1,1,60.1,Web Developer,8.46,1,7,2.247072383063787
Tier 2,8.6,2,2,0,0,1,0,1,0,65.9,DevOps Engineer,10.55,2,3,2.446685436967803
Tier 2,6.64,1,1,0,0,3,1,1,1,47.6,Software Engineer,9.67,2,6,2.367436065313662
Tier 2,6.94,1,3,1,0,4,1,2,2,58.3,Software Engineer,9.53,2,6,2.354228326145884
Tier 3,7.92,1,0,0,2,1,1,0,0,55.8,Data Scientist,11.39,1,2,2.516889695641051
Tier 2,8.37,1,3,1,2,4,2,2,0,74.7,ML Engineer,23.49,2,5,3.1982648709640764
Tier 1,9.08,0,2,0,0,2,1,3,0,74.6,DevOps Engineer,19.94,3,3,3.041661205442391
Tier 2,6.04,0,3,1,0,1,0,0,1,56.0,Web Developer,6.83,2,7,2.057962510002712
Tier 2,7.24,1,2,0,1,0,0,1,0,53.8,Data Scientist,10.44,2,2,2.437115985951652
Tier 1,8.58,1,2,0,1,2,3,2,0,74.6,Data Scientist,24.01,3,2,3.219275744889528
Tier 2,8.37,2,1,0,1,6,1,1,3,63.8,Data Scientist,23.36,2,2,3.192942442841696
Tier 3,5.43,2,1,0,2,4,0,2,2,45.0,Junior Developer,3.86,1,4,1.5810384379124023
Tier 3,7.56,1,2,1,1,0,1,1,1,56.0,Data Scientist,12.24,1,2,2.5832425505088623
Tier 3,8.11,1,2,0,1,1,0,3,3,64.3,Web Developer,9.96,1,7,2.3942522815198695
Tier 2,7.24,0,5,0,2,1,0,2,0,46.2,Backend Developer,10.3,2,0,2.424802725718295
Tier 2,6.42,0,2,0,2,4,1,0,0,48.4,Software Engineer,9.56,2,6,2.3570732782781154
Tier 2,6.03,3,1,4,3,2,1,0,2,43.8,Data Analyst,10.09,2,1,2.4060438013622756
Tier 2,8.54,2,2,2,4,2,0,3,0,57.8,Software Engineer,10.24,2,6,2.419478844465545
Tier 2,6.93,0,2,4,0,3,0,3,1,53.6,Backend Developer,7.74,2,0,2.167910189667444
Tier 2,5.5,3,1,1,1,3,0,3,0,38.6,Web Developer,4.53,2,7,1.7101878155342434
Tier 3,7.33,2,4,0,2,2,0,3,2,54.0,Web Developer,10.79,1,7,2.4672517145492794
Tier 2,8.37,2,4,0,1,4,0,2,2,53.8,DevOps Engineer,10.11,2,3,2.4078456036515385
Tier 2,6.57,1,2,1,3,5,0,1,2,43.8,Backend Developer,7.6,2,0,2.151762203259462
Tier 1,5.54,2,6,1,1,0,3,1,0,44.3,Web Developer,6.09,3,7,1.958685340544036
Tier 3,4.16,2,1,2,0,5,1,1,2,33.9,Junior Developer,4.29,1,4,1.665818245870208
Tier 3,6.77,1,3,1,1,4,2,0,1,57.5,ML Engineer,9.95,1,5,2.3933394562625097
Tier 3,7.3,0,1,0,2,6,1,0,0,56.8,Data Scientist,12.04,1,2,2.5680215564985067
Tier 2,7.0,2,1,2,3,0,0,0,1,47.2,Web Developer,6.76,2,7,2.048982334195127
Tier 3,9.18,2,0,0,0,0,2,1,3,77.8,Data Scientist,20.44,1,2,3.0652583362026014
Tier 2,7.86,2,2,0,6,2,1,1,0,61.9,Data Scientist,15.98,2,2,2.8320361808832013
Tier 3,7.1,3,3,2,2,0,1,2,2,52.2,Data Scientist,15.0,1,2,2.772588722239781
Tier 3,7.37,1,2,1,3,1,2,1,1,58.7,Data Scientist,15.31,1,2,2.7917784166329227
Tier 2,6.82,1,3,1,0,2,1,1,2,45.8,Web Developer,10.5,2,7,2.4423470353692043
Tier 1,6.25,2,3,0,3,2,2,1,1,47.0,Software Engineer,9.87,3,6,2.386006701133118
Tier 2,7.63,0,1,0,0,2,0,1,1,54.6,Data Scientist,10.35,2,2,2.4292177439274116
Tier 1,6.28,2,1,1,3,2,1,0,1,54.9,Software Engineer,9.47,3,6,2.3485140248824456
Tier 2,6.71,1,2,0,1,1,1,2,2,50.7,Data Analyst,9.97,2,1,2.395164274287139
Tier 2,6.39,2,2,0,4,1,0,2,3,45.6,Web Developer,8.26,2,7,2.225704048658088
Tier 2,6.92,0,1,1,1,2,0,2,0,50.4,Software Engineer,7.74,2,6,2.167910189667444
Tier 3,5.51,2,1,0,0,2,1,1,1,43.0,Web Developer,5.62,1,7,1.890095369948917
Tier 1,9.13,0,4,1,2,3,0,1,3,64.3,Data Analyst,10.5,3,1,2.4423470353692043
Tier 3,7.27,2,4,1,1,3,2,2,1,53.4,ML Engineer,15.82,1,5,2.822568654544802
Tier 3,7.49,1,1,1,2,2,3,0,2,64.9,Data Scientist,15.94,1,2,2.8296776892239084
Tier 2,4.98,0,1,0,1,1,1,1,2,35.0,Junior Developer,4.62,2,4,1.7263316639055997
Tier 3,6.78,0,2,1,3,0,0,0,1,52.6,Software Engineer,6.2,1,6,1.9740810260220096
Tier 3,5.35,0,2,0,2,2,0,1,0,39.5,Junior Developer,3.92,1,4,1.5933085305042167
Tier 3,6.01,2,2,0,2,3,1,1,2,41.9,Data Analyst,9.52,1,1,2.3532782073095637
Tier 1,6.56,0,4,0,0,1,0,0,2,51.5,Web Developer,6.43,3,7,2.005525858729668
Tier 2,5.72,0,0,0,1,1,1,0,0,47.1,Web Developer,5.95,2,7,1.9387416595767009
Tier 2,6.68,1,4,2,0,2,2,0,2,59.5,ML Engineer,9.8,2,5,2.379546134130174
Tier 1,5.94,2,3,0,2,1,1,2,1,42.5,Web Developer,6.25,3,7,1.9810014688665833
Tier 2,5.94,1,4,1,0,7,0,1,0,32.8,Web Developer,4.61,2,7,1.724550719534605
Tier 2,6.4,1,0,0,3,5,2,1,1,56.4,Web Developer,9.65,2,7,2.365559892155434
Tier 3,9.57,1,0,0,0,3,3,1,1,79.1,ML Engineer,23.31,1,5,3.1908877883280318
Tier 3,7.54,3,3,0,2,3,0,1,2,50.9,Data Analyst,9.86,1,1,2.3850863145057892
Tier 1,7.7,2,2,0,2,3,1,2,2,47.9,Data Analyst,13.11,3,1,2.6468837658647226
Tier 3,7.21,1,2,0,0,1,2,1,0,60.1,ML Engineer,15.01,1,5,2.773213527008623
Tier 2,6.66,1,4,1,4,4,1,1,0,52.0,DevOps Engineer,10.43,2,3,2.4362414778067194
Tier 3,7.26,0,2,1,0,4,1,2,1,47.8,Backend Developer,12.52,1,0,2.604170070614818
Tier 1,7.39,1,1,0,2,2,1,0,1,47.2,Software Engineer,15.91,3,6,2.827905162910489
Tier 2,8.14,2,2,0,4,2,2,1,0,71.9,Data Scientist,23.76,2,2,3.2092294478163956
Tier 3,6.53,0,4,0,0,1,0,2,1,45.4,Software Engineer,8.17,1,6,2.2159372862683733
Tier 1,7.37,2,1,1,4,3,1,3,0,56.3,Software Engineer,15.95,3,6,2.830267833826459
Tier 3,7.65,2,0,1,2,1,0,0,1,51.9,Web Developer,6.34,1,7,1.9933388426264242
Tier 2,6.82,1,2,1,0,2,3,1,1,60.4,ML Engineer,10.33,2,5,2.427454075039915
Tier 3,6.95,2,1,4,2,2,1,2,1,49.9,Backend Developer,9.81,1,0,2.3804716316511167
Tier 3,6.55,0,3,1,0,2,2,0,0,59.5,Data Scientist,9.98,1,2,2.3960754360813845
Tier 3,6.45,2,2,2,1,0,2,1,1,53.9,Data Analyst,10.43,1,1,2.4362414778067194
Tier 1,8.53,1,1,1,8,0,0,2,0,66.5,Data Scientist,10.39,3,2,2.432735777459091
Tier 3,5.94,2,3,0,0,1,2,0,1,41.5,Web Developer,6.13,1,7,1.9643112344262046
Tier 3,6.56,1,2,3,1,1,0,0,4,44.3,Web Developer,6.05,1,7,1.9530276168241774
Tier 3,7.1,0,1,2,2,2,1,2,1,55.7,Data Scientist,11.75,1,2,2.545531271604435
Tier 2,7.21,1,2,0,0,1,1,1,1,49.1,Backend Developer,16.2,2,0,2.8449093838194073
Tier 2,6.57,2,2,1,0,3,1,1,0,38.9,Software Engineer,9.85,2,6,2.3841650799864684
Tier 2,5.75,0,4,0,1,4,0,1,0,39.1,Junior Developer,5.01,2,4,1.7934247485471162
Tier 1,7.88,1,3,1,1,2,0,1,1,59.1,Software Engineer,11.23,3,6,2.503891949699081
Tier 2,8.53,0,1,0,3,0,0,2,1,62.2,DevOps Engineer,10.39,2,3,2.432735777459091
Tier 2,4.75,0,2,0,1,3,0,2,0,44.2,Junior Developer,3.32,2,4,1.463255402256019
Tier 1,6.83,0,0,2,1,2,0,0,2,50.0,Web Developer,6.36,3,7,1.9960599327407849
Tier 2,7.69,0,5,0,3,3,2,1,0,49.9,ML Engineer,15.99,2,5,2.8326249356838407
Tier 3,6.93,4,3,1,1,2,0,2,2,49.5,DevOps Engineer,8.13,1,3,2.211565694606877
Tier 2,9.09,1,2,0,1,1,1,4,1,60.0,Software Engineer,21.79,2,6,3.126321843257593
Tier 1,5.63,0,2,3,2,1,0,0,4,49.9,Web Developer,4.89,3,7,1.7732559976634952
Tier 3,6.0,0,1,4,1,3,1,1,3,50.1,Web Developer,8.75,1,7,2.277267285009756
Tier 2,7.48,1,0,0,0,0,0,0,1,44.6,DevOps Engineer,6.67,2,3,2.0373166153791646
Tier 2,7.56,0,2,1,4,0,0,1,1,54.3,Software Engineer,10.0,2,6,2.3978952727983707
Tier 2,6.85,2,0,1,3,4,0,0,2,57.6,DevOps Engineer,6.16,2,3,1.9685099809725544
Tier 1,7.91,0,1,2,1,0,0,1,0,57.5,Software Engineer,9.96,3,6,2.3942522815198695
Tier 2,7.29,2,2,0,2,1,1,1,2,52.3,Data Scientist,16.54,2,2,2.864483986944037
Tier 1,7.36,1,1,0,0,2,2,0,2,60.3,ML Engineer,15.99,3,5,2.8326249356838407
Tier 2,8.11,0,2,1,0,1,1,0,1,64.0,Data Scientist,15.85,2,2,2.8243506567983707
Tier 1,6.19,1,4,3,0,4,0,1,0,49.3,Software Engineer,7.55,3,6,2.145931282948669
Tier 3,6.5,3,3,4,0,2,0,1,0,43.8,Software Engineer,6.35,1,6,1.9947003132247452
Tier 2,9.07,0,4,1,1,1,1,1,3,74.9,Data Analyst,13.53,2,1,2.6762154775821916
Tier 2,8.03,1,1,0,3,6,0,1,1,61.4,DevOps Engineer,9.8,2,3,2.379546134130174
Tier 2,6.65,1,3,0,0,4,0,1,0,53.5,Software Engineer,8.51,2,6,2.252343876557299
Tier 1,8.03,3,1,0,3,1,2,2,1,62.7,Data Scientist,23.91,3,2,3.215269329274089
Tier 2,6.26,2,1,2,1,2,1,4,0,51.3,Software Engineer,10.26,2,6,2.421256622711544
Tier 2,6.18,2,2,0,2,2,0,0,1,44.5,Web Developer,6.66,2,7,2.0360119837525
Tier 2,4.58,0,3,1,2,4,1,0,3,37.6,Junior Developer,4.42,2,4,1.6900958154515549
Tier 2,7.28,1,1,0,1,3,0,1,0,49.4,Data Scientist,10.6,2,2,2.451005098112319
Tier 3,6.84,0,4,1,1,1,0,4,1,48.3,DevOps Engineer,8.2,1,3,2.2192034840549946
Tier 2,7.27,1,1,1,1,5,2,1,0,61.6,ML Engineer,16.5,2,5,2.8622008809294686
Tier 3,9.3,1,2,1,1,2,0,1,3,64.5,Data Analyst,10.59,1,1,2.4501426573516603
Tier 3,8.47,0,0,1,2,3,0,1,0,63.2,Software Engineer,7.89,1,6,2.1849270495258133
Tier 2,5.71,0,1,0,1,2,0,1,0,44.1,Web Developer,4.64,2,7,1.7298840655099674
Tier 2,7.23,1,3,0,3,3,0,2,0,43.4,Software Engineer,10.78,2,6,2.4664031782234406
Tier 1,7.61,0,1,0,1,1,2,1,0,63.2,ML Engineer,16.25,3,5,2.847812143477369
Tier 3,7.34,2,4,0,3,1,2,1,1,67.1,Data Scientist,16.27,1,2,2.848970892158587
Tier 3,6.37,0,3,0,3,1,1,0,1,55.1,Data Analyst,10.02,1,1,2.3997118037247684
Tier 3,7.84,3,3,0,2,6,1,2,0,58.8,Software Engineer,16.37,1,6,2.854744580253014
Tier 1,7.58,1,3,1,2,4,0,1,1,49.8,Data Analyst,10.5,3,1,2.4423470353692043
Tier 2,7.01,0,3,0,1,3,0,2,2,47.2,Software Engineer,10.4,2,6,2.4336133554004498
Tier 2,6.61,4,3,1,1,1,1,1,2,44.2,Web Developer,10.28,2,7,2.423031246069913
Tier 3,6.06,0,4,1,2,5,0,1,2,39.6,Backend Developer,8.02,1,0,2.199444334074532
Tier 1,6.97,3,3,1,1,1,1,3,1,57.0,Software Engineer,8.94,3,6,2.2965670206684825
Tier 3,8.74,0,3,2,0,1,1,0,1,60.0,Data Scientist,13.82,1,2,2.695977619867941
Tier 3,7.86,0,2,1,1,4,1,2,1,69.1,Backend Developer,14.7,1,0,2.7536607123542622
Tier 1,7.64,0,0,0,2,2,0,1,0,57.0,DevOps Engineer,10.29,3,3,2.4239173781615704
Tier 3,5.79,0,3,3,1,3,0,1,1,51.6,Web Developer,4.85,1,7,1.766441661243765
Tier 1,7.62,4,1,2,4,2,3,1,0,74.5,ML Engineer,15.79,3,5,2.8207834710894493
Tier 3,7.68,1,0,1,5,7,1,1,0,52.8,Data Scientist,14.49,1,2,2.740194654428777
Tier 3,6.77,0,3,1,1,4,2,1,0,61.2,Data Scientist,9.81,1,2,2.3804716316511167
Tier 3,7.85,1,1,1,4,5,1,2,1,55.4,Web Developer,15.55,1,7,2.806386101823072
Tier 2,7.29,0,2,3,2,2,0,2,2,57.8,Data Analyst,10.32,2,1,2.4265710727750367
Tier 3,5.83,2,4,0,0,1,0,1,1,50.8,Web Developer,4.81,1,7,1.7595805708638197
Tier 1,7.4,1,1,1,3,3,2,0,3,52.7,Data Scientist,15.86,3,2,2.8249439525737094
Tier 3,7.0,2,1,3,2,6,0,1,0,51.1,Software Engineer,8.01,1,6,2.1983350716202463
Tier 1,7.04,1,1,1,1,2,1,1,0,64.5,Data Scientist,16.02,3,2,2.834389123145228
Tier 2,8.45,0,5,1,1,2,1,1,2,57.7,Data Analyst,13.4,2,1,2.667228206581955
Tier 1,5.63,1,4,0,1,4,1,2,0,41.4,Web Developer,6.15,3,7,1.9671123567059163
Tier 2,7.59,0,3,0,1,1,1,3,1,58.8,Data Scientist,16.33,2,2,2.8524391037275145
Tier 1,7.83,1,2,1,0,1,2,1,2,64.6,Data Scientist,16.08,3,2,2.837908188360424
Tier 3,7.53,0,3,1,3,1,1,3,1,58.1,Software Engineer,15.26,1,6,2.7887081041196646
Tier 3,6.14,3,0,0,1,2,0,0,1,32.9,Web Developer,6.56,1,7,2.0228711901914416
Tier 3,8.03,0,0,0,0,1,0,0,1,58.9,DevOps Engineer,5.89,1,3,1.9300710850255671
Tier 1,6.76,1,1,0,2,3,1,2,0,49.8,DevOps Engineer,10.14,3,3,2.410542234499138
Tier 1,5.02,5,2,4,2,0,0,1,1,30.2,Junior Developer,2.93,3,4,1.3686394258811698
Tier 2,8.85,1,4,0,2,0,0,1,0,58.9,Software Engineer,10.28,2,6,2.423031246069913
Tier 3,5.76,4,2,2,0,2,0,0,2,35.9,Web Developer,4.82,1,7,1.7613002617433464
Tier 1,8.68,2,2,1,0,0,1,0,2,52.4,Software Engineer,21.43,3,6,3.110399348532117
Tier 2,6.52,0,2,2,0,3,0,1,3,56.2,Data Analyst,8.25,2,1,2.224623551524334
Tier 3,7.86,1,1,1,0,1,1,1,1,64.7,Data Scientist,12.47,1,2,2.6004649904222727
Tier 2,6.62,1,3,0,1,2,0,0,1,48.9,Data Analyst,6.51,2,1,2.0162354657760435
Tier 2,5.8,1,1,0,3,0,1,0,3,54.7,Web Developer,5.64,2,7,1.8931119634883424
Tier 2,8.43,2,5,3,0,3,3,2,1,76.4,ML Engineer,23.61,2,5,3.2031528644029645
Tier 2,8.18,1,2,1,3,4,0,3,0,48.7,Software Engineer,10.11,2,6,2.4078456036515385
Tier 2,6.48,4,3,0,1,1,0,1,0,52.2,Software Engineer,7.99,2,6,2.196112848483529
Tier 2,9.54,1,4,1,1,2,0,4,2,71.6,Web Developer,10.29,2,7,2.4239173781615704
Tier 1,5.52,0,3,0,1,1,0,1,0,41.5,Web Developer,4.75,3,7,1.749199854809259
Tier 2,6.56,0,3,0,2,3,1,1,2,57.8,Web Developer,10.21,2,7,2.4168062370840686
Tier 3,8.15,4,0,1,0,2,1,2,3,55.9,DevOps Engineer,16.11,1,3,2.839663087904102
Tier 2,6.05,0,3,1,1,1,1,4,0,48.5,Software Engineer,9.94,2,6,2.392425796993835
Tier 2,7.81,2,1,0,2,2,1,0,0,58.1,Data Scientist,15.73,2,2,2.8172035149987327
Tier 2,6.13,1,2,0,1,1,0,2,0,43.5,Software Engineer,7.94,2,6,2.190535589185423
Tier 1,7.43,0,3,1,1,4,0,1,1,59.0,DevOps Engineer,10.91,3,3,2.477378383367209
Tier 1,7.93,0,3,0,2,1,2,1,1,64.3,Data Scientist,15.66,3,2,2.8130106367386967
Tier 1,7.5,1,4,1,3,1,0,2,0,48.2,Software Engineer,10.07,3,6,2.4042387467205457
Tier 1,4.86,2,0,2,0,3,0,1,2,28.1,Junior Developer,3.84,3,4,1.5769147207285403
Tier 1,6.24,1,4,0,3,4,3,1,0,58.0,Software Engineer,9.67,3,6,2.367436065313662
Tier 2,6.42,0,0,0,0,4,0,1,1,43.6,Data Analyst,7.9,2,1,2.186051276738094
Tier 2,7.06,0,3,0,4,4,0,3,2,51.7,DevOps Engineer,9.65,2,3,2.365559892155434
Tier 2,8.34,2,2,1,6,2,1,0,0,66.6,Data Scientist,21.91,2,2,3.1315734964654043
Tier 2,6.38,1,3,0,0,0,1,3,0,53.2,Software Engineer,10.31,2,6,2.425687290128029
Tier 3,7.43,0,0,0,1,1,1,1,2,49.1,Data Analyst,11.18,1,1,2.4997952622817508
Tier 2,8.57,1,3,1,0,3,1,1,1,59.8,DevOps Engineer,19.96,2,3,3.0426158594528414
Tier 3,5.16,0,2,1,2,0,1,2,0,36.7,Junior Developer,4.29,1,4,1.665818245870208
Tier 3,6.87,0,1,1,1,2,0,1,1,51.6,Junior Developer,6.18,1,4,1.9712993830601329
Tier 2,9.02,2,4,0,3,2,1,4,0,65.4,DevOps Engineer,19.96,2,3,3.0426158594528414
Tier 3,6.88,0,1,0,0,3,3,1,1,55.2,ML Engineer,10.41,1,5,2.4344901638739844
Tier 2,7.35,0,0,0,3,2,1,3,1,56.3,Data Scientist,16.26,2,2,2.848391685655282
Tier 3,6.89,2,2,2,0,1,2,1,1,51.0,Data Scientist,9.92,1,2,2.390595970316759
Tier 1,6.41,0,4,1,0,1,0,2,0,44.2,Software Engineer,7.96,3,6,2.192770226986839
Tier 1,7.25,1,2,0,1,2,1,2,2,57.2,Data Scientist,15.66,3,2,2.8130106367386967
Tier 3,9.21,1,5,0,1,4,1,0,3,62.2,Web Developer,15.2,1,7,2.785011242238338
Tier 2,7.91,0,2,0,1,0,1,2,0,50.6,Data Scientist,16.09,2,2,2.8384934971274993
Tier 3,8.59,0,0,0,1,2,0,3,2,60.8,Web Developer,10.04,1,7,2.401525040848949
Tier 1,7.1,1,5,0,2,3,0,1,2,49.1,Web Developer,10.19,3,7,2.4150205223238337
Tier 3,8.06,1,1,0,2,1,1,0,1,65.9,Web Developer,13.12,1,7,2.647592232065096
Tier 2,8.32,0,4,2,2,4,1,3,2,55.4,Web Developer,15.11,2,7,2.779440197188883
Tier 1,7.08,0,3,0,1,1,1,2,1,54.6,Data Scientist,16.02,3,2,2.834389123145228
Tier 2,7.16,1,2,0,1,4,1,1,1,54.8,Data Scientist,16.24,2,2,2.847232265235547
Tier 3,6.11,1,0,0,0,0,1,1,1,42.9,Data Analyst,9.68,1,1,2.3683728335320486
Tier 2,6.61,1,4,0,2,3,0,2,2,48.8,DevOps Engineer,7.86,2,3,2.1815467646169897
Tier 2,4.95,0,5,1,3,4,1,1,0,41.5,Junior Developer,5.04,2,4,1.7984040119467235
Tier 2,6.47,1,1,1,1,4,1,1,0,48.7,Software Engineer,9.98,2,6,2.3960754360813845
Tier 2,5.9,1,2,1,1,1,0,3,0,45.8,Web Developer,4.9,2,7,1.7749523509116738
Tier 3,5.65,3,4,1,0,2,0,1,2,46.6,Junior Developer,4.29,1,4,1.665818245870208
Tier 3,5.44,2,4,1,1,4,0,1,0,46.6,Junior Developer,3.25,1,4,1.4469189829363254
Tier 2,5.9,2,1,3,2,0,1,0,0,45.5,Web Developer,6.76,2,7,2.048982334195127
Tier 2,7.16,0,0,0,1,1,0,1,0,53.3,DevOps Engineer,8.67,2,3,2.269028309465203
Tier 1,8.73,1,2,0,1,4,1,1,2,69.3,Data Scientist,23.81,3,2,3.21124679770371
Tier 2,6.76,0,4,1,3,2,0,1,2,45.5,Software Engineer,7.91,2,6,2.187174241482718
Tier 2,6.52,2,1,1,1,3,1,0,1,49.4,Web Developer,9.82,2,7,2.3813962734183356
Tier 1,5.42,2,0,4,1,5,0,3,0,29.5,Junior Developer,3.43,3,4,1.4883995840570443
Tier 1,8.29,0,4,0,0,1,3,0,0,69.7,Data Scientist,23.75,3,2,3.2088254890146994
Tier 2,8.71,0,5,1,3,2,0,1,0,59.5,Data Scientist,9.96,2,2,2.3942522815198695
Tier 3,6.99,3,1,0,1,2,1,3,1,54.1,Software Engineer,9.4,1,6,2.341805806147327
Tier 3,8.55,0,2,0,3,4,2,0,3,63.1,Data Scientist,20.65,1,2,3.075005454448499
Tier 2,6.38,0,0,4,2,1,0,1,0,42.7,Backend Developer,3.61,2,0,1.528227857008557
Tier 3,6.77,0,1,1,1,3,0,1,2,44.4,Web Developer,6.25,1,7,1.9810014688665833
Tier 2,5.09,1,2,2,2,3,0,1,0,42.2,Junior Developer,3.22,2,4,1.4398351280479207
Tier 2,7.15,1,2,0,2,1,0,1,0,54.1,Data Scientist,9.91,2,2,2.3896797998449792
Tier 2,8.46,1,1,0,2,2,1,0,1,58.7,Data Scientist,19.01,2,2,2.996232148595642
Tier 1,5.63,1,3,3,2,1,0,2,2,42.9,Web Developer,4.3,3,7,1.667706820558076
