college_tier,cgpa,internships,projects,backlogs,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 2,6.77,0,2,0,"JavaScript, DSA, HTML/CSS, Django",1,1,2,52.2,Web Developer,10.18
Tier 3,5.64,0,1,1,"Docker, Python",0,2,0,35.5,Junior Developer,5.54
Tier 2,7.94,0,0,0,"Linux, Node.js, Excel, HTML/CSS, React",0,2,3,60.7,Web Developer,10.21
Tier 2,5.18,1,1,1,"DSA, JavaScript",1,0,1,29.2,Junior Developer,5.1
Tier 3,6.06,1,4,2,"Django, HTML/CSS",0,1,1,44.7,Web Developer,6.89
Tier 2,7.15,1,0,0,Git,0,0,1,47.1,Data Scientist,6.11
Tier 2,6.94,2,4,0,"AWS, PyTorch",1,1,0,42.5,DevOps Engineer,9.6
Tier 3,9.17,2,3,1,Linux,0,0,1,72.4,DevOps Engineer,6.64
Tier 1,7.55,2,3,4,Machine Learning,1,0,0,55.2,Data Scientist,15.04
Tier 1,6.98,1,1,2,React,0,1,0,50.2,Software Engineer,8.18
Tier 2,8.54,1,4,0,"React, SQL, JavaScript, Java, Deep Learning, Django",1,3,2,61.0,Software Engineer,21.82
Tier 3,7.79,1,6,0,"TensorFlow, Docker, Linux, PyTorch",2,1,1,63.8,ML Engineer,16.07
Tier 3,4.07,2,1,0,Git,0,0,1,32.5,Junior Developer,3.67
Tier 2,7.12,2,3,0,"DSA, PyTorch, Java",2,1,0,59.4,Data Scientist,16.12
Tier 2,6.86,1,2,3,"Python, SQL, Machine Learning, HTML/CSS, DSA",2,1,2,58.2,ML Engineer,10.05
Tier 1,7.4,1,3,0,"JavaScript, Linux",0,0,2,53.4,Web Developer,6.21
Tier 2,6.95,2,1,0,DSA,1,0,0,49.8,Software Engineer,10.09
Tier 2,6.92,0,1,3,"React, Django",0,2,0,48.9,Software Engineer,6.72
Tier 3,4.82,1,2,1,"Git, PyTorch, Java, Linux",1,1,2,34.6,Junior Developer,4.72
Tier 3,6.65,1,5,0,"HTML/CSS, JavaScript",0,0,2,47.3,Web Developer,6.03
Tier 2,6.75,1,3,0,"Linux, SQL, Node.js",0,1,2,38.5,Data Analyst,8.14
Tier 2,5.94,0,2,2,Excel,0,0,1,38.5,Web Developer,4.09
Tier 1,5.39,1,4,0,React,0,1,0,41.0,Junior Developer,3.4
Tier 3,5.15,0,1,0,"Node.js, DSA, React, TensorFlow",2,2,0,43.7,Junior Developer,3.72
Tier 2,8.72,3,0,0,"SQL, TensorFlow, Node.js, PyTorch",2,1,1,74.7,ML Engineer,24.63
Tier 3,5.83,1,3,1,"Python, Node.js, TensorFlow, Excel",1,2,1,46.9,Junior Developer,6.21
Tier 3,6.24,2,3,1,"Java, Linux, Docker, PyTorch",1,2,1,52.9,Backend Developer,9.75
Tier 3,6.28,3,1,0,"Excel, HTML/CSS, DSA, SQL",1,0,3,50.9,Data Analyst,10.34
Tier 1,6.25,0,1,0,"Linux, Node.js, Git",0,1,2,38.8,Software Engineer,7.48
Tier 3,8.47,0,2,2,"DSA, JavaScript, AWS",1,1,1,59.8,Software Engineer,12.39
Tier 3,5.27,2,1,2,"Excel, Git, Django",0,1,2,38.6,Junior Developer,3.79
Tier 3,6.62,1,1,1,Django,0,1,0,39.5,Software Engineer,6.16
Tier 2,8.41,0,0,0,"Excel, Django, JavaScript",0,1,2,59.1,Web Developer,9.8
Tier 2,7.09,2,3,0,"Docker, Django",0,2,0,52.0,DevOps Engineer,10.48
Tier 2,8.3,2,2,1,"HTML/CSS, AWS, Git, Machine Learning, DSA, Java",2,2,2,74.9,Data Scientist,24.14
Tier 3,7.3,2,0,0,"Git, AWS, React",0,2,1,49.6,Software Engineer,8.59
Tier 3,7.52,0,2,1,"Deep Learning, PyTorch, TensorFlow",3,0,0,74.0,ML Engineer,15.36
Tier 2,6.16,1,2,0,"Deep Learning, SQL",1,0,1,46.1,Data Analyst,9.87
Tier 1,8.26,1,0,0,"TensorFlow, JavaScript, AWS, Django, React, HTML/CSS",1,3,2,59.9,Web Developer,15.17
Tier 3,10.0,2,2,1,"Excel, PyTorch, React, Docker",1,2,1,76.1,Software Engineer,22.07
Tier 3,6.8,1,0,1,"Java, TensorFlow, SQL",1,1,1,56.4,Backend Developer,9.7
Tier 3,4.98,0,2,1,"Excel, Python",0,1,1,39.4,Junior Developer,3.23
Tier 2,6.35,1,2,0,"PyTorch, DSA, TensorFlow, Java, Git",3,1,1,56.7,Software Engineer,9.94
Tier 2,5.48,0,2,1,"JavaScript, Django",0,1,1,43.8,Junior Developer,3.38
Tier 2,7.85,0,4,1,"Python, Docker, Git, Java",0,3,1,46.0,Backend Developer,11.27
Tier 1,7.95,0,1,1,"Deep Learning, React",1,1,0,58.2,Data Scientist,16.17
Tier 2,6.83,0,5,2,"SQL, HTML/CSS, Docker",0,1,2,46.2,Backend Developer,8.26
Tier 3,5.82,0,0,3,"TensorFlow, PyTorch",2,0,0,45.3,Web Developer,5.98
Tier 3,8.43,1,3,0,"Excel, Deep Learning, React, Node.js",1,2,1,64.3,Data Scientist,17.43
Tier 1,6.61,3,2,1,"Git, Machine Learning",1,0,1,49.6,Software Engineer,10.15
Tier 3,7.24,2,0,1,"Deep Learning, Java, SQL, AWS, Linux",1,2,2,66.4,DevOps Engineer,13.93
Tier 2,6.88,1,1,1,"Java, Node.js, Excel",0,2,1,42.3,Software Engineer,7.57
Tier 3,7.77,3,4,0,"Git, Deep Learning",1,0,1,52.6,Data Scientist,15.9
Tier 1,8.33,1,2,1,"TensorFlow, React, AWS, Node.js, PyTorch",2,3,0,69.1,Data Scientist,24.04
Tier 1,4.48,1,2,0,Excel,0,0,1,19.2,Junior Developer,3.85
Tier 2,6.22,2,3,2,"Python, Machine Learning, Java, PyTorch, Excel",2,2,1,49.5,Software Engineer,10.13
Tier 1,7.16,1,2,1,"SQL, Excel, Linux, Docker",0,1,3,53.2,Data Analyst,10.29
Tier 1,6.21,1,2,2,Excel,0,0,1,49.8,Data Analyst,6.38
Tier 3,6.45,3,3,1,"HTML/CSS, Deep Learning",1,0,1,47.4,Web Developer,10.34
Tier 1,8.39,1,2,0,Machine Learning,1,0,0,61.9,Data Scientist,19.67
Tier 3,6.64,4,1,1,HTML/CSS,0,0,1,51.0,Web Developer,6.29
Tier 2,5.09,1,2,2,Linux,0,0,1,42.2,Junior Developer,3.88
Tier 3,6.41,1,1,0,"DSA, Excel, React, TensorFlow",2,1,1,48.5,Software Engineer,9.99
Tier 3,7.58,3,3,2,"DSA, Linux, AWS, JavaScript, Deep Learning",2,1,2,64.9,ML Engineer,16.53
Tier 3,8.04,1,2,1,"HTML/CSS, Java",0,1,1,58.9,Software Engineer,8.82
Tier 2,6.54,1,2,1,"AWS, DSA, Java, Python",1,3,0,46.7,Software Engineer,10.11
Tier 2,7.29,2,0,0,"Linux, SQL, JavaScript, PyTorch, Django",1,1,3,57.2,Web Developer,15.18
Tier 1,6.59,1,2,1,"Node.js, Java",0,2,0,46.7,Software Engineer,8.42
Tier 1,6.37,2,3,2,"AWS, Java, Machine Learning, Git, PyTorch",2,2,1,46.8,Software Engineer,10.14
Tier 2,10.0,2,2,0,"Docker, Excel, HTML/CSS, React, TensorFlow",1,2,2,79.5,Web Developer,15.57
Tier 3,6.22,1,3,2,"Python, Linux, JavaScript, Git, Excel",0,1,4,47.7,Data Analyst,7.65
Tier 3,5.86,0,4,0,"PyTorch, JavaScript, Docker",1,1,1,40.3,Web Developer,5.97
Tier 2,7.26,0,0,0,"Machine Learning, Java, SQL, Excel",1,1,2,49.5,Data Analyst,12.91
Tier 3,8.45,1,2,1,Docker,0,1,0,61.1,DevOps Engineer,9.08
Tier 3,7.52,1,2,1,"PyTorch, Docker, Machine Learning, SQL, DSA",3,1,1,64.5,ML Engineer,15.92
Tier 2,7.45,0,1,0,JavaScript,0,0,1,47.9,Web Developer,6.53
Tier 2,6.1,0,0,1,DSA,1,0,0,49.2,Software Engineer,9.04
Tier 2,4.49,2,1,1,"Git, Machine Learning, Node.js, Docker",1,2,1,32.2,Junior Developer,4.2
Tier 3,6.82,1,1,2,Deep Learning,1,0,0,42.7,Software Engineer,8.68
Tier 3,7.34,1,1,1,TensorFlow,1,0,0,54.1,Data Scientist,10.42
Tier 1,6.64,1,0,0,"DSA, AWS",1,1,0,56.9,Software Engineer,10.13
Tier 3,7.16,2,2,1,"TensorFlow, PyTorch, Django, Node.js",2,2,0,59.3,ML Engineer,16.22
Tier 3,6.24,2,2,0,Git,0,0,1,51.3,Software Engineer,6.27
Tier 2,8.92,0,1,2,"Java, Linux, Deep Learning, React, SQL, Docker",1,3,2,70.9,Backend Developer,17.95
Tier 3,8.91,1,3,0,"HTML/CSS, Django, Python, TensorFlow",1,2,1,71.5,Data Scientist,22.0
Tier 1,8.4,1,2,0,"Node.js, Django",0,2,0,57.4,Data Scientist,10.18
Tier 1,6.83,0,1,1,"SQL, JavaScript, TensorFlow, PyTorch",2,0,2,56.8,ML Engineer,10.48
Tier 2,5.76,3,0,1,"HTML/CSS, Deep Learning, AWS",1,1,1,48.7,Web Developer,5.58
Tier 2,6.87,2,5,0,"Excel, HTML/CSS, PyTorch",1,0,2,44.6,Web Developer,10.07
Tier 2,6.05,2,0,1,"AWS, Git, Docker",0,2,1,28.2,Backend Developer,7.92
Tier 3,7.08,2,1,2,"React, Machine Learning, JavaScript, Java",1,2,1,54.6,Software Engineer,12.95
Tier 1,8.5,0,0,1,"Django, PyTorch, Python, Node.js, Deep Learning",2,3,0,61.6,Data Scientist,24.53
Tier 1,6.31,0,3,1,"Python, Django, TensorFlow",1,2,0,58.4,Software Engineer,10.46
Tier 3,6.6,0,4,1,"Python, DSA",1,1,0,44.4,Software Engineer,10.61
Tier 2,9.39,0,1,1,"Django, Python, PyTorch, TensorFlow, JavaScript",2,2,1,75.4,Data Scientist,24.42
Tier 2,7.67,2,1,0,"Linux, Deep Learning, JavaScript, Node.js",1,1,2,47.5,Data Scientist,16.32
Tier 2,7.35,1,2,1,"Deep Learning, Docker, Machine Learning, PyTorch, HTML/CSS",3,1,1,71.1,ML Engineer,16.13
Tier 2,9.22,1,1,0,"AWS, Excel",0,1,1,67.2,Data Analyst,11.17
Tier 2,7.21,2,3,0,"TensorFlow, SQL, Excel, Deep Learning, Linux",2,0,3,58.8,ML Engineer,16.2
Tier 3,8.0,2,2,1,"AWS, Linux",0,1,1,59.0,DevOps Engineer,9.78
Tier 2,6.54,1,1,1,"Docker, PyTorch, AWS, SQL, Linux",1,2,2,45.7,DevOps Engineer,10.28
Tier 1,5.99,0,1,3,"Deep Learning, Git, Python",1,1,1,45.4,Junior Developer,5.91
Tier 3,6.44,3,1,2,SQL,0,0,1,43.6,Data Analyst,6.15
Tier 2,7.84,2,2,3,"HTML/CSS, Deep Learning",1,0,1,56.9,Data Scientist,13.92
Tier 2,8.4,0,0,0,"DSA, Java",1,1,0,61.7,Software Engineer,15.64
Tier 1,6.79,1,2,0,"Git, SQL, Docker, HTML/CSS, React",0,2,3,47.2,Web Developer,7.97
Tier 1,8.93,0,5,0,"JavaScript, Linux, Machine Learning",1,0,2,74.2,Data Scientist,24.42
Tier 2,4.02,2,2,0,Java,0,1,0,25.8,Junior Developer,3.53
Tier 3,6.94,1,1,0,"DSA, Deep Learning, Django",2,1,0,57.8,ML Engineer,10.27
Tier 3,5.26,4,3,0,"Deep Learning, React, Python",1,2,0,36.2,Junior Developer,4.23
Tier 2,6.5,0,1,0,"JavaScript, Git, React, Java, Node.js",0,3,2,50.2,Software Engineer,7.54
Tier 3,5.21,0,1,0,"TensorFlow, JavaScript, HTML/CSS",1,0,2,41.4,Junior Developer,4.48
Tier 2,7.78,0,3,0,"HTML/CSS, TensorFlow, JavaScript, Python, Django",1,2,2,54.3,Data Scientist,15.64
Tier 3,7.94,1,0,0,"PyTorch, Linux, Machine Learning, Django, Git",2,1,2,63.3,Data Scientist,15.91
Tier 3,6.08,0,4,1,"Node.js, Docker",0,2,0,38.5,Backend Developer,8.04
Tier 3,6.48,0,2,0,"Django, Excel",0,1,1,38.8,Data Analyst,6.78
Tier 2,8.35,1,1,1,"Excel, Git, Django",0,1,2,60.0,Data Analyst,10.23
Tier 2,6.21,1,4,0,"React, TensorFlow, JavaScript, Linux",1,1,2,42.5,Web Developer,9.46
Tier 2,6.3,2,0,0,"Excel, Docker, Python, SQL, TensorFlow",1,2,2,45.8,Data Analyst,9.91
Tier 2,8.37,1,4,0,"PyTorch, SQL, Django, Java",1,2,1,63.1,Backend Developer,17.4
Tier 3,7.4,1,2,0,TensorFlow,1,0,0,52.0,Data Scientist,12.12
Tier 1,7.16,2,6,0,"SQL, PyTorch",1,0,1,48.8,Data Analyst,13.53
Tier 1,7.59,0,2,1,"Django, HTML/CSS",0,1,1,47.6,Web Developer,10.38
Tier 2,5.58,0,3,1,Node.js,0,1,0,37.1,Web Developer,4.67
Tier 3,6.51,0,2,1,"Excel, SQL, HTML/CSS",0,0,3,46.7,Data Analyst,6.11
Tier 3,8.69,1,2,0,"AWS, Linux",0,1,1,59.3,DevOps Engineer,10.82
Tier 3,6.75,3,2,0,Java,0,1,0,47.4,Software Engineer,7.95
Tier 2,7.4,1,4,2,"Docker, AWS, TensorFlow, HTML/CSS",1,2,1,59.5,DevOps Engineer,15.7
Tier 3,7.2,1,3,2,"PyTorch, HTML/CSS, SQL",1,0,2,54.6,Web Developer,11.39
Tier 2,5.02,4,3,0,"DSA, Git, PyTorch, Machine Learning",3,0,1,42.1,Junior Developer,4.41
Tier 3,6.47,0,3,0,"Java, Machine Learning, AWS",1,2,0,38.7,Software Engineer,10.0
Tier 2,6.55,2,0,2,"DSA, Deep Learning, JavaScript",2,0,1,53.0,Data Scientist,10.31
Tier 3,7.97,2,0,1,"HTML/CSS, React, Deep Learning, Machine Learning",2,1,1,67.0,ML Engineer,15.86
Tier 3,6.36,0,3,0,"Django, HTML/CSS, Git, JavaScript, AWS",0,2,3,47.7,Web Developer,7.52
Tier 2,6.75,2,1,0,"Linux, Python, PyTorch, Git, Django",1,2,2,49.3,Software Engineer,10.41
Tier 2,6.96,0,0,0,"Deep Learning, PyTorch, Python, Git",2,1,1,52.2,ML Engineer,9.85
Tier 2,8.19,0,3,0,"Linux, DSA",1,0,1,65.7,Software Engineer,16.98
Tier 3,7.55,4,1,0,Python,0,1,0,57.3,Data Scientist,10.71
Tier 1,6.85,0,2,0,"JavaScript, Git, TensorFlow",1,0,2,59.7,Web Developer,9.57
Tier 3,7.14,2,1,0,"AWS, Linux, Deep Learning, Django, Machine Learning",2,2,1,57.4,Data Scientist,15.71
Tier 1,7.1,1,1,2,Excel,0,0,1,51.6,Data Analyst,6.35
Tier 1,8.33,0,2,1,"React, DSA",1,1,0,55.7,Software Engineer,18.21
Tier 2,8.29,2,3,0,"Git, Deep Learning, Node.js, TensorFlow, HTML/CSS, Python",2,2,2,64.3,ML Engineer,24.11
Tier 2,6.81,3,0,2,"Django, Git, Java, JavaScript, Linux",0,2,3,44.2,Software Engineer,8.01
Tier 3,4.64,0,4,2,Python,0,1,0,25.0,Junior Developer,3.99
Tier 2,6.81,1,3,0,"Docker, HTML/CSS, TensorFlow",1,1,1,57.6,Web Developer,10.35
Tier 1,5.4,2,2,3,"Django, Machine Learning",1,1,0,44.7,Junior Developer,4.56
Tier 3,4.79,2,2,2,"Git, PyTorch",1,0,1,33.6,Junior Developer,4.56
Tier 2,5.38,0,3,0,Java,0,1,0,36.7,Junior Developer,3.48
Tier 2,8.24,1,1,0,"JavaScript, Node.js, Linux",0,1,2,67.6,Web Developer,10.51
Tier 2,8.26,0,2,1,"Django, Linux, Java, Deep Learning",1,2,1,58.6,Data Scientist,18.14
Tier 2,7.54,0,1,0,JavaScript,0,0,1,55.8,Web Developer,6.11
Tier 2,8.1,2,4,0,"AWS, Excel, HTML/CSS, Django",0,2,2,58.5,Web Developer,10.42
Tier 1,7.67,0,4,0,React,0,1,0,52.6,Software Engineer,10.77
Tier 3,6.15,1,4,1,"JavaScript, Python, PyTorch, Machine Learning",2,1,1,49.2,Junior Developer,8.63
Tier 3,6.41,0,2,0,"DSA, Excel, AWS, Linux, HTML/CSS",1,1,3,35.1,Software Engineer,9.94
Tier 3,6.14,0,2,0,"TensorFlow, JavaScript, PyTorch, HTML/CSS",2,0,2,56.7,Web Developer,9.53
Tier 2,7.49,1,2,2,"Python, PyTorch, Linux, Git",1,1,2,59.3,Data Scientist,15.13
Tier 3,6.46,1,3,0,"Linux, Python, JavaScript",0,1,2,50.2,Junior Developer,8.32
Tier 1,7.26,1,2,0,"AWS, JavaScript, React, Linux",0,2,2,62.9,Web Developer,10.81
Tier 1,6.73,0,2,1,"DSA, JavaScript, HTML/CSS, Java",1,1,2,42.0,Software Engineer,10.3
Tier 1,7.71,3,3,0,"AWS, Git, Linux, DSA",1,1,2,51.2,DevOps Engineer,15.98
Tier 3,5.31,2,0,1,"AWS, Java, SQL",0,2,1,38.5,Junior Developer,3.62
Tier 2,6.74,2,3,0,"React, JavaScript, HTML/CSS, Git",0,1,3,45.7,Web Developer,8.34
Tier 2,7.81,2,2,0,"JavaScript, React, PyTorch, Docker, Python",1,3,1,65.9,Software Engineer,15.85
Tier 3,7.22,1,2,1,"AWS, Django, PyTorch",1,2,0,53.2,DevOps Engineer,13.98
Tier 2,7.47,0,3,0,"DSA, Machine Learning",2,0,0,61.7,Data Scientist,16.0
Tier 2,6.52,0,3,0,"Git, SQL",0,0,2,38.7,Data Analyst,5.84
Tier 3,5.17,2,3,1,"Excel, Deep Learning, SQL",1,0,2,31.4,Junior Developer,4.8
Tier 2,7.9,0,2,1,"Machine Learning, Deep Learning, Python, Excel, Git",2,1,2,64.4,Data Scientist,15.67
Tier 2,8.61,0,2,0,"AWS, React, TensorFlow",1,2,0,66.5,Data Scientist,21.91
Tier 3,7.31,0,2,1,"Node.js, Linux, Docker",0,2,1,45.8,DevOps Engineer,8.32
Tier 2,7.03,2,0,0,"Git, DSA, JavaScript, HTML/CSS, AWS",1,1,3,60.5,Web Developer,15.4
Tier 2,7.51,0,2,1,"Excel, Java",0,1,1,47.9,Software Engineer,9.09
Tier 3,5.69,1,2,2,"AWS, Django",0,2,0,47.4,Web Developer,4.74
Tier 3,8.41,0,1,1,"Python, Git, Machine Learning, PyTorch, AWS",2,2,1,59.7,ML Engineer,17.47
Tier 3,6.41,0,2,2,"Linux, PyTorch, SQL, React, Excel",1,1,3,50.0,Data Analyst,10.54
Tier 3,6.64,1,2,1,"Linux, JavaScript, Java, AWS",0,2,2,49.7,DevOps Engineer,8.12
Tier 1,7.2,3,1,0,"SQL, AWS, DSA",1,1,1,58.2,Software Engineer,15.75
Tier 3,4.03,0,1,0,Linux,0,0,1,32.1,Junior Developer,2.41
Tier 2,7.43,1,0,0,"Docker, Django, Git",0,2,1,59.1,DevOps Engineer,10.51
Tier 1,7.2,1,3,0,"HTML/CSS, Docker, PyTorch",1,1,1,54.2,Web Developer,15.65
Tier 2,5.43,1,2,2,HTML/CSS,0,0,1,35.2,Junior Developer,3.39
Tier 1,7.46,1,0,0,"TensorFlow, Machine Learning, React",2,1,0,65.8,Data Scientist,16.03
Tier 1,7.0,1,2,1,"DSA, Docker",1,1,0,50.9,Software Engineer,15.84
Tier 1,4.02,0,1,2,"Deep Learning, Python, Excel, Git",1,1,2,26.9,Junior Developer,4.27
Tier 2,6.16,0,4,0,"JavaScript, Deep Learning, Java, PyTorch, SQL",2,1,2,45.6,Backend Developer,10.4
Tier 3,6.34,0,0,2,"React, Java, Django, PyTorch, Git",1,3,1,42.1,Software Engineer,10.02
Tier 3,6.82,0,1,0,HTML/CSS,0,0,1,50.7,Web Developer,6.03
Tier 3,6.26,0,0,2,"Deep Learning, Machine Learning, JavaScript",2,0,1,46.3,Web Developer,9.7
Tier 3,7.57,1,1,0,"JavaScript, Django, TensorFlow, Excel, Node.js",1,2,2,55.0,Data Scientist,15.42
Tier 2,8.75,1,3,1,Machine Learning,1,0,0,65.7,Data Scientist,20.34
Tier 3,6.95,1,0,1,"Java, JavaScript, React",0,2,1,51.4,Software Engineer,7.29
Tier 1,6.83,0,3,0,"Git, AWS, Python, JavaScript, HTML/CSS",0,2,3,46.1,Web Developer,7.96
Tier 3,6.07,1,1,2,"SQL, React, PyTorch, Linux",1,1,2,46.3,Software Engineer,10.34
Tier 1,6.51,2,5,2,"Docker, Linux, Deep Learning, DSA",2,1,1,50.0,ML Engineer,10.22
Tier 2,8.08,0,1,2,"Deep Learning, SQL",1,0,1,61.8,Data Scientist,12.19
Tier 3,6.68,1,0,4,Linux,0,0,1,46.3,DevOps Engineer,4.65
Tier 2,6.19,4,2,0,"Python, Git",0,1,1,40.5,Software Engineer,8.54
Tier 2,9.43,0,2,1,"React, Excel, Docker",0,2,1,75.2,Software Engineer,10.66
Tier 2,7.27,2,0,0,Docker,0,1,0,53.2,DevOps Engineer,9.54
Tier 2,6.22,0,1,3,"Java, Django, AWS",0,3,0,44.7,Software Engineer,6.96
Tier 2,6.06,0,4,0,Python,0,1,0,51.3,Software Engineer,8.09
Tier 3,7.84,1,5,0,Machine Learning,1,0,0,54.4,Data Scientist,14.15
Tier 1,6.4,2,1,1,DSA,1,0,0,52.7,Software Engineer,9.74
Tier 1,7.02,1,3,0,"Docker, Java, Linux",0,2,1,48.0,DevOps Engineer,10.55
Tier 2,7.77,0,0,0,"TensorFlow, PyTorch, Java, DSA, Django",3,2,0,67.3,Data Scientist,15.74
Tier 3,6.82,1,3,1,"Java, Python, DSA, HTML/CSS",1,2,1,49.7,Software Engineer,10.03
Tier 2,5.24,2,3,2,TensorFlow,1,0,0,35.4,Junior Developer,4.6
Tier 1,6.96,0,2,1,"AWS, Python, Git, Java, Deep Learning",1,3,1,47.1,Software Engineer,9.94
Tier 2,8.7,0,1,1,Linux,0,0,1,61.5,DevOps Engineer,6.33
Tier 1,6.69,1,7,0,"HTML/CSS, PyTorch",1,0,1,51.5,Web Developer,10.33
Tier 2,5.23,0,1,0,"Django, Docker, JavaScript",0,2,1,40.3,Junior Developer,3.65
Tier 2,7.96,1,2,0,"Git, Java, Excel, TensorFlow, React",1,2,2,65.7,Software Engineer,15.79
Tier 2,7.65,1,1,0,"DSA, Git",1,0,1,62.5,Software Engineer,15.27
Tier 2,8.1,0,1,1,"Deep Learning, Git, Docker, DSA",2,1,1,63.1,ML Engineer,19.35
Tier 2,7.71,1,2,1,"Deep Learning, Python",1,1,0,55.8,Data Scientist,15.66
Tier 2,4.05,0,5,0,"SQL, AWS, Excel",0,1,2,23.4,Junior Developer,4.02
Tier 1,7.24,0,3,0,"AWS, TensorFlow, Deep Learning, Git, React",2,2,1,61.5,Data Scientist,15.97
Tier 2,6.91,1,1,1,"React, SQL, DSA",1,1,1,58.9,Software Engineer,10.13
Tier 1,7.52,0,2,0,"JavaScript, Git, Excel, Linux, React",0,1,4,44.5,Web Developer,10.62
Tier 3,7.15,2,1,0,"TensorFlow, Git, AWS",1,1,1,53.2,Data Scientist,14.0
Tier 3,7.2,0,1,0,Python,0,1,0,48.9,Data Scientist,6.73
Tier 3,6.48,1,3,0,"Excel, Node.js, AWS, Django",0,3,1,39.8,Data Analyst,8.07
Tier 3,8.34,1,1,2,"Git, HTML/CSS",0,0,2,50.7,Web Developer,6.43
Tier 2,8.18,1,2,0,"Deep Learning, DSA, Python, Docker",2,2,0,64.1,Data Scientist,22.82
Tier 1,5.65,2,3,2,"Node.js, TensorFlow",1,1,0,42.1,Web Developer,6.26
Tier 2,9.4,1,2,0,"SQL, DSA, Linux, JavaScript, HTML/CSS",1,0,4,64.5,Web Developer,15.1
Tier 2,6.96,0,1,3,"Deep Learning, Django, JavaScript",1,1,1,48.5,Web Developer,9.92
Tier 3,8.29,1,2,2,"Git, TensorFlow, Linux, HTML/CSS, Node.js, SQL",1,1,4,61.9,Data Scientist,15.42
Tier 2,7.37,5,3,0,"PyTorch, Docker, Linux",1,1,1,61.1,DevOps Engineer,16.01
Tier 2,6.57,2,3,2,"Node.js, AWS, JavaScript, Excel",0,2,2,39.0,Web Developer,8.37
Tier 3,5.47,2,1,0,"Machine Learning, SQL, Git, PyTorch",2,0,2,42.2,Junior Developer,4.77
Tier 3,7.34,0,1,0,"PyTorch, Docker, Excel, Deep Learning",2,1,1,49.7,ML Engineer,15.17
Tier 2,8.26,0,4,1,"SQL, Linux, PyTorch, React, Deep Learning",2,1,2,63.7,Data Scientist,21.6
Tier 3,7.92,0,3,2,"Python, SQL, JavaScript, Node.js, Machine Learning",1,2,2,66.5,Data Scientist,14.63
Tier 3,7.7,1,4,0,"Linux, HTML/CSS, Python, JavaScript, Node.js",0,2,3,49.9,Web Developer,10.41
Tier 3,6.69,3,0,1,"HTML/CSS, SQL, Git, DSA",1,0,3,46.5,Software Engineer,9.96
Tier 2,7.61,0,3,0,"Django, SQL",0,1,1,63.1,Data Analyst,10.68
Tier 2,6.09,3,5,1,"Java, JavaScript",0,1,1,45.5,Software Engineer,7.82
Tier 1,6.1,0,2,0,"SQL, JavaScript",0,0,2,44.8,Web Developer,7.0
Tier 1,9.46,1,5,0,Machine Learning,1,0,0,66.0,Data Scientist,24.2
Tier 3,7.46,3,0,0,"AWS, JavaScript",0,1,1,49.4,Web Developer,9.4
Tier 1,6.22,0,3,2,"DSA, PyTorch, SQL, React, Git",2,1,2,56.1,Software Engineer,10.31
Tier 3,6.67,0,7,0,Excel,0,0,1,56.2,Data Analyst,6.35
Tier 1,7.24,1,1,0,Git,0,0,1,50.3,Data Scientist,6.35
Tier 3,6.51,1,1,2,PyTorch,1,0,0,53.5,Software Engineer,8.55
Tier 2,7.17,0,2,0,"SQL, TensorFlow, AWS",1,1,1,46.6,Data Scientist,15.26
Tier 2,7.06,0,1,0,"JavaScript, PyTorch, DSA, HTML/CSS, Excel",2,0,3,52.7,Data Scientist,16.04
Tier 2,9.11,0,1,1,"Machine Learning, Python, HTML/CSS, Deep Learning, React, JavaScript",2,2,2,74.6,Data Scientist,23.97
Tier 3,6.73,0,5,0,"TensorFlow, PyTorch, DSA",3,0,0,58.3,Data Scientist,9.96
Tier 3,9.82,1,1,0,"TensorFlow, Deep Learning, JavaScript, Linux",2,0,2,81.5,ML Engineer,21.74
Tier 2,5.41,2,2,2,Java,0,1,0,36.5,Junior Developer,3.04
Tier 2,6.92,2,5,1,AWS,0,1,0,48.0,DevOps Engineer,7.35
Tier 2,7.14,0,0,0,SQL,0,0,1,56.3,Data Analyst,6.47
Tier 2,8.03,2,2,0,"Java, Django, Machine Learning",1,2,0,60.3,Data Scientist,19.68
Tier 2,6.54,2,4,0,"Excel, Django, HTML/CSS, Deep Learning, DSA",2,1,2,61.9,Data Scientist,9.8
Tier 1,6.62,0,2,2,"Node.js, HTML/CSS, Django, Deep Learning, Excel",1,2,2,47.6,Web Developer,10.32
Tier 3,8.13,1,1,0,"DSA, Node.js, Machine Learning, Excel, Git",2,1,2,62.8,ML Engineer,18.32
Tier 3,5.48,0,1,0,"Python, HTML/CSS, Git",0,1,2,33.4,Junior Developer,3.35
Tier 2,8.39,2,1,3,"Excel, Python, Docker, PyTorch",1,2,1,57.9,Data Analyst,13.05
Tier 2,8.88,0,3,1,Git,0,0,1,65.9,Data Scientist,6.0
Tier 1,7.73,3,1,0,"AWS, React, HTML/CSS, Linux",0,2,2,54.7,Web Developer,10.1
Tier 1,5.97,0,1,2,Linux,0,0,1,48.3,Web Developer,3.92
Tier 2,9.59,3,1,1,"PyTorch, JavaScript, DSA, Node.js, Django",2,2,1,74.8,ML Engineer,28.67
Tier 2,8.21,2,3,0,"DSA, Docker",1,1,0,61.2,Software Engineer,19.64
Tier 3,5.56,1,3,2,JavaScript,0,0,1,30.8,Web Developer,4.39
